Id,Brand,Movement,Case material,Bracelet material,Condition,Scope of delivery,Gender,Price,Availability,Watches Sold by the Seller
3900,Venezianico,Automatic,Steel,Steel,Used (Very good),"Original box, original papers",Men's watch/Unisex,926.0,Item is in stock,
3901,Anonimo,,Steel,,Used (Very good),"Original box, original papers",,3253.0,Item is in stock,663.0
3902,Michele,Quartz,Steel,Steel,New,"Original box, original papers",Women's watch,1925.0,Item is in stock,431.0
3903,Concord,Quartz,Steel,Steel,Used (Good),"No original box, no original papers",Men's watch/Unisex,600.0,Item is in stock,172.0
3904,B.R.M,Automatic,Titanium,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,34929.0,Item is in stock,
3905,RSW,Quartz,Steel,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,283.0,Item is in stock,17869.0
3906,Laco,Automatic,Steel,Steel,New,"Original box, original papers",Men's watch/Unisex,1030.0,Item is in stock,819.0
3907,Invicta,Automatic,Steel,Steel,Like new & unworn,"Original box, original papers",Men's watch/Unisex,108.0,Item is in stock,
3908,Fendi,Quartz,Steel,Calf skin,,"Original box, original papers",,524.0,Item is in stock,1177.0
3909,NOMOS,Manual winding,Steel,Leather,New,"Original box, original papers",Women's watch,1432.0,Item is in stock,14.0
3910,Paul Picot,Quartz,Steel,Steel,Used (Very good),"No original box, no original papers",Men's watch/Unisex,1360.0,Item is in stock,811.0
3911,Jaeger-LeCoultre,Manual winding,Rose gold,Leather,Used (Very good),"Original box, original papers",Women's watch,13990.0,Item is in stock,65.0
3912,Steinhart,Automatic,Steel,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,1192.0,Item is in stock,
3913,Rado,Quartz,Ceramic,Ceramic,Used (Very good),"Original box, original papers",Men's watch/Unisex,2332.0,Item is in stock,56.0
3914,Harry Winston,Automatic,Rose gold,,Used (Very good),"Original box, original papers",Men's watch/Unisex,,Item is in stock,226.0
3915,Nivada,Automatic,Titanium,Titanium,New,"Original box, original papers",Men's watch/Unisex,2034.0,Item needs to be procured,1075.0
3916,Graham,Automatic,Steel,Rubber,Used (Good),"No original box, no original papers",Men's watch/Unisex,3481.0,Item is in stock,374.0
3917,Ball,Automatic,Rose gold,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,4495.0,Item is in stock,1606.0
3918,Maserati,Automatic,Steel,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,542.0,Item is in stock,
3919,Chopard,Quartz,Steel,Leather,New,"Original box, original papers",Women's watch,5000.0,Item is in stock,266.0
3920,Eterna,Automatic,Steel,Leather,Used (Fair),"No original box, no original papers",Men's watch/Unisex,280.0,Item is in stock,111.0
3921,Pierre Kunz,Automatic,Rose gold,,Used (Very good),"Original box, original papers",Men's watch/Unisex,13083.0,Item is in stock,156.0
3922,Corum,Manual winding,Steel,Leather,Used (Good),"No original box, no original papers",Men's watch/Unisex,6999.0,Item is in stock,311.0
3923,GUB Glashütte,Automatic,,,Used (Very good),"No original box, no original papers",Men's watch/Unisex,597.0,Item is in stock,382.0
3924,Norqain,Automatic,Bronze,Rubber,New,"Original box, original papers",Men's watch/Unisex,2788.0,Item available on request,770.0
3925,Casio,Quartz,Steel,Plastic,Like new & unworn,"Original box, original papers",,300.0,Item is in stock,
3926,Richard Mille,Automatic,Titanium,Rubber,Used (Very good),"Original box, no original papers",Men's watch/Unisex,,Item is in stock,87.0
3927,Sarcar,,Yellow gold,Leather,Like new & unworn,"No original box, no original papers",Men's watch/Unisex,531.0,Item is in stock,3000.0
3928,Van Cleef & Arpels,Manual winding,White gold,Leather,Used (Very good),"No original box, no original papers",Women's watch,9891.0,Item is in stock,326.0
3929,Armani,,Steel,Steel,Used (Very good),"Original box, no original papers",Men's watch/Unisex,157.0,Item is in stock,
3930,Gérald Genta,Quartz,Steel,Leather,Used (Very good),"No original box, no original papers",,1952.0,Item is in stock,333.0
3931,Alexander Shorokhoff,Manual winding,Steel,Leather,New,"Original box, original papers",Men's watch/Unisex,2592.0,Item needs to be procured,566.0
3932,Ming,Manual winding,Steel,Leather,Used (Very good),"Original box, original papers",Men's watch/Unisex,3920.0,Item is in stock,
3933,Guess,Quartz,Steel,Rubber,Like new & unworn,"No original box, no original papers",Women's watch,71.0,Item is in stock,
3934,Jorg Hysek,Automatic,Steel,Rubber,New,"Original box, original papers",Men's watch/Unisex,8457.0,Item is in stock,24.0
3935,Festina,Quartz,Steel,Steel,New,"Original box, original papers",Women's watch,495.0,Item is in stock,445.0
3936,Piaget,Manual winding,White gold,White gold,Used (Very good),"No original box, no original papers",Men's watch/Unisex,10970.0,Item is in stock,144.0
3937,Paul Picot,Automatic,Steel,Leather,Used (Good),"Original box, no original papers",Men's watch/Unisex,2484.0,Item is in stock,116.0
